Time,Voltage,PDP 0,PDP 1,PDP 14,PDP 15,Total Current,
20:55:04.054,11.7109375,0,0,0,0,0,
20:55:04.074,11.69140625,0,0,0,0,0,
20:55:04.094,11.7421875,0,0,0,0,0,
20:55:04.114,11.69140625,0,0,0,0,0,
20:55:04.134,11.6796875,0,0,0,0,0,
20:55:04.154,11.72265625,0,0,0,0,0,
20:55:04.174,11.734375,0,0,0,0,0,
20:55:04.194,11.6796875,0,0,0,0,0,
20:55:04.214,11.69140625,0,0,0,0,0,
20:55:04.234,11.7109375,0,0,0,0,0,
20:55:04.254,11.72265625,0,0,0,0,0,
20:55:04.274,11.68359375,0,0,0,0,0,
20:55:04.294,11.6640625,0,0,0,0,0,
20:55:04.314,11.69140625,0,0,0,0,0,
20:55:04.334,11.72265625,0,0,0,0,0,
20:55:04.354,11.6953125,0,0,0,0,0,
20:55:04.374,11.671875,0,0,0,0,0,
20:55:04.394,11.69140625,0,0,0,0,0,
20:55:04.414,11.703125,0,0,0,0,0,
20:55:04.434,11.703125,0,0,0,0,0,
20:55:04.454,11.68359375,0,0,0,0,0,
20:55:04.474,11.68359375,0,0,0,0,0,
20:55:04.494,11.6953125,0,0,0,0,0,
20:55:04.514,11.7421875,0,0,0,0,0,
20:55:04.534,11.68359375,0,0,0,0,0,
20:55:04.554,11.6640625,0,0,0,0,0,
20:55:04.574,11.703125,0,0,0,0,0,
20:55:04.594,11.71484375,0,0,0,0,0,
20:55:04.614,11.7109375,0,0,0,0,0,
20:55:04.634,11.6953125,0,0,0,0,0,
20:55:04.654,11.390625,0,0,0,2.625,2.625,
20:55:04.674,10.30859375,0,0,0,2.625,2.625,
20:55:04.694,9.08984375,0,0,0,2.625,2.625,
20:55:04.714,9.3359375,0,0,0,2.625,2.625,
20:55:04.734,9.15234375,2,1.875,27.25,40.125,71.25,
20:55:04.754,9.27734375,2,1.875,27.25,40.125,71.25,
20:55:04.774,9.2734375,2.25,2,40.625,52.5,97.375,
20:55:04.794,9.16015625,2.25,2,40.625,52.5,97.375,
20:55:04.814,9.34765625,2.25,2,40.625,52.5,97.375,
20:55:04.834,9.1796875,2.25,2,40.625,52.5,97.375,
20:55:04.854,9.1796875,2.375,2.125,40.125,48.75,93.375,
20:55:04.874,9.234375,2.375,2.125,40.125,48.75,93.375,
20:55:04.894,9.37109375,2.25,1.875,37.125,48.75,90,
20:55:04.914,10.08203125,2.25,1.875,37.125,48.75,90,
20:55:04.934,9.7421875,2.25,1.875,37.125,48.75,90,
20:55:04.954,9.56640625,2.25,1.875,37.125,48.75,90,
20:55:04.974,11.296875,0,0,32.625,31.625,64.25,
20:55:04.994,11.48828125,0,0,32.625,31.625,64.25,
20:55:05.014,11.53515625,0,0,32.625,31.625,64.25,
20:55:05.034,11.5703125,0,0,3.875,1.875,5.75,
20:55:05.054,11.5703125,0,0,3.875,1.875,5.75,
20:55:05.074,11.62109375,0,0,3.875,1.875,5.75,
20:55:05.094,11.55859375,0,0,0,0,0,
20:55:05.114,11.58984375,0,0,0,0,0,
20:55:05.134,11.62109375,0,0,0,0,0,
20:55:05.154,11.62890625,0,0,0,0,0,
20:55:05.174,11.6640625,0,0,0,0,0,
20:55:05.194,11.59765625,0,0,0,0,0,
20:55:05.214,11.578125,0,0,0,0,0,
20:55:05.234,11.578125,0,0,0,0,0,
20:55:05.254,11.68359375,0,0,0,0,0,
20:55:05.274,11.6484375,0,0,0,0,0,
20:55:05.294,11.6484375,0,0,0,0,0,
20:55:05.314,11.6484375,0,0,0,0,0,
20:55:05.334,11.62109375,0,0,0,0,0,
20:55:05.354,11.68359375,0,0,0,0,0,
20:55:05.374,11.6640625,0,0,0,0,0,
20:55:05.394,11.6484375,0,0,0,0,0,
20:55:05.414,10.6875,0,0,0,0,0,
